ORGID,x,y,k
D017389,116.284003,39.836642,1
D017391,116.41093,40.075749,4
D017396,116.423308,39.854384,8
D017423,116.435735,39.964553,4
D017441,116.325295,39.944718,6
D017508,116.41093,40.075749,4
D017558,116.349927,40.040946,6
D017564,116.390842,39.870639,0
D017565,116.196039,39.930897,3
D017596,116.222325,40.220067,10
D017629,116.591087,39.893978,2
D036256,116.51506,39.860813,2
D036271,116.476434,39.912083,7
D036446,116.206882,39.980518,5
D036456,116.206882,39.980518,5
D036458,116.367551,39.941209,11
D036464,116.361398,39.852334,9
D036470,116.333656,39.983228,6
D036487,116.206882,39.980518,5
D036515,116.447588,39.905722,8
D036520,116.367551,39.941209,11
D036527,116.496271,39.930188,13
D036530,116.12094,39.851542,3
D036541,116.472164,39.910106,7
D036572,116.293632,39.866507,1
D036573,116.47638,39.893689,7
D036587,116.37286,39.93181,11
D036596,116.206882,39.980518,5
D036635,116.478958,39.928654,13
D036644,116.467554,39.871642,7
D036699,116.37286,39.93181,11
D036716,116.280257,39.953039,1
D036718,116.437798,39.886174,8
D036721,116.336149,39.897891,9
D036726,116.295301,39.863208,1
D036738,116.558405,39.922246,2
D037473,116.642476,39.892579,2
D037633,116.37935,39.879009,0
D037635,116.372617,39.938934,11
D037636,116.345148,39.973996,6
D037653,116.367625,39.977454,12
D037669,116.426207,39.905554,8
D037680,116.366202,39.939669,11
D037683,116.359411,39.888969,0
D037691,116.28286,39.900462,1
D037699,116.428467,39.933153,8
D037702,116.317793,39.974104,6
D037741,116.324197,39.983496,6
D037750,116.467554,39.871642,7
D037760,116.482974,39.997431,13
D037762,116.318058,39.851456,9
D037773,116.206882,39.980518,5
D037774,116.301393,39.909271,1
D037796,116.467554,39.871642,7
D037826,116.668945,39.906952,14
D037871,116.408706,39.946187,12
D037877,116.336149,39.897891,9
D037881,116.206882,39.980518,5
D037884,116.366202,39.939669,11
D040885,116.246361,39.90325,5
D040896,116.368057,39.993606,12
D040963,116.244599,40.226576,10
D040993,116.206882,39.980518,5
D041008,116.206882,39.980518,5
D041014,116.367551,39.941209,11
D041028,116.367551,39.941209,11
D041035,116.367551,39.941209,11
D041055,116.317257,39.983355,6
D041060,116.238215,40.230056,10
D041073,116.206882,39.980518,5
D041084,116.367551,39.941209,11
D041091,116.367551,39.941209,11
D041093,116.206882,39.980518,5
D041098,116.327847,39.931529,1
D041102,116.206882,39.980518,5
D041114,116.344513,39.919276,11
D041135,116.433958,39.867377,8
D041140,116.344513,39.919276,11
D041171,116.349273,39.901877,9
D041177,116.425938,39.943062,8
D041190,116.468942,39.985388,13
D041193,116.430704,39.897679,8
D041201,116.485661,39.899877,7
D041208,116.37286,39.93181,11
D041215,116.367551,39.941209,11
D041244,116.451086,39.87424,7
D041247,116.367551,39.941209,11
D041250,116.356762,39.845502,9
D041271,116.367551,39.941209,11
D041277,116.189388,39.911149,3
D041285,116.249857,39.929769,5
D041294,116.351891,40.029442,6
D041310,116.206882,39.980518,5
D041316,116.206882,39.980518,5
D046933,116.68107,39.865632,14
D046977,116.06272,39.714887,3
D047089,116.401488,39.807609,0
D047168,116.206882,39.980518,5
D047171,116.062822,39.711716,3
D049623,116.340704,39.954635,6
D049627,116.425951,39.952589,8
D049633,116.292998,39.942394,1
D049661,116.335631,39.743238,9
D070216,116.383289,39.90374,0
D070219,116.39614,39.93417,12
D070225,116.206882,39.980518,5
D070226,116.206882,39.980518,5
D070232,116.399812,39.865422,0
D070275,116.367551,39.941209,11
D070296,116.461266,39.932346,7
D070358,116.327889,40.029414,6
D070367,116.333905,39.724884,9
D070368,116.315077,39.932752,1
D070374,116.298739,39.922409,1
D070382,116.343116,39.989218,6
D070424,116.302614,39.934586,1
D070443,116.454784,39.925827,8
D070473,116.287298,39.9669,1
D070495,116.350203,39.932769,11
D070506,116.377835,39.845198,0
D070523,116.312466,40.032344,6
D070530,116.071905,39.646961,3
D070551,116.284466,40.00728,10
D070608,116.331524,39.980932,6
D070622,116.457393,39.988501,4
D070656,116.410566,39.926514,0
D070682,116.286935,39.866105,1
D070688,116.393999,39.884452,0
D070691,116.47808,39.897898,7
D071199,116.306649,39.980459,1
D071220,116.409571,40.047801,4
D071225,116.33904,39.744541,9
D071257,116.336568,39.893244,9
D071279,116.316464,39.850605,9
D071282,116.286152,39.842392,1
D071292,116.36685,39.945617,11
D071331,116.338402,39.750917,9
D071422,116.37342,40.01741,12
D071424,116.49989,39.932058,13
D072257,116.364623,39.844655,9
D075596,116.468926,40.079188,4
D075720,117.122521,40.145246,14
D075728,116.377399,39.894921,0
D075754,116.386678,40.08628,12
D075760,116.395979,39.886241,0
D081920,116.221766,40.221402,10
D081930,116.270745,39.894124,1
D081933,116.308783,39.975517,6
D081944,116.275373,39.871217,1
D081948,116.415544,39.900439,8
D084398,116.47126,39.911389,7
D084408,116.394566,39.85664,0
D087160,116.62956,39.905211,2
D089085,116.498497,39.934873,13
D089089,116.303218,39.971099,1
D089106,116.191393,39.932677,3
D089117,116.465229,39.886148,7
D089119,116.484968,39.924743,13
D089132,116.421759,40.060239,4
D089141,116.308722,40.036271,10
D089161,116.638513,39.887897,2
D100151,116.406606,39.998936,12
D103319,116.196861,39.808528,3
D103321,116.372307,39.861336,0
D103391,116.128459,39.938514,3
D103418,116.324297,39.875887,9
D103420,116.338137,39.82695,9
D103515,116.375113,40.085046,12
D103560,116.517707,39.920927,13
D103980,116.344708,39.915942,11
D105041,116.36144,39.877735,0
D105042,116.373819,39.882189,0
D106298,116.319262,39.963677,6
D106768,116.576933,39.894911,2
D107001,116.30615,39.836974,9
D107006,116.347785,40.014983,6
D107785,116.420289,39.788473,0
D144117,116.530647,39.843046,2
D144121,116.48589,39.877969,7
D144131,116.602019,39.948631,2
D144134,116.557318,39.758592,2
D144136,116.71722,40.040449,14
D144184,116.366202,39.939669,11
D145145,116.460861,39.889918,7
D145685,116.538175,39.859358,2
D145687,116.463874,40.013005,13
D145688,116.42259,39.999073,4
D145690,116.396276,39.895864,0
D146567,116.359681,39.932165,11
D147034,116.65901,40.280457,14
D147039,116.426698,39.919792,8
D147048,116.46845,39.880288,7
D147830,116.601144,39.948573,2
D147850,116.42909,39.856879,8
D147868,116.297229,40.147756,10
D147874,116.487659,39.860408,7
D147875,116.459563,39.866226,7
D150219,116.291375,39.849582,1
D150233,116.325063,39.878624,9
D152222,116.663186,40.134867,14
D152754,116.481491,39.900089,7
D153215,116.598628,39.953476,2
D153220,116.5284,39.919389,2
D162909,116.310604,39.884676,1
D162912,116.362099,39.926518,11
D162917,116.300991,39.988342,1
D162919,116.304151,39.96093,1
D169577,116.352637,39.899313,11
D169578,116.286134,39.957329,1
D169587,116.388811,39.893687,0
D170183,116.410152,39.940608,12
D170184,116.389306,39.943159,12
D170395,116.501694,39.926674,13
D170396,116.452376,39.870908,7
D171584,116.426847,40.001898,4
D171670,116.320875,39.969617,6
D171685,116.342177,39.947801,6
D171696,116.379378,39.937699,12
D172859,116.593264,39.91678,2
D172868,116.242456,39.929409,5
D172871,116.209103,39.838456,3
D172872,116.408362,40.008052,12
D172874,116.408362,40.008052,12
D174810,116.645525,40.118961,14
D180889,116.454994,39.913255,7
D184197,116.41642,40.050989,4
D184211,116.278056,39.966517,1
D184217,116.401363,39.841275,0
D184223,116.523699,39.924081,2
D184224,116.482148,39.920285,7
D184507,116.381269,39.904059,0
D184514,116.721386,39.850311,14
D197525,116.470417,39.83061,7
D198510,116.521511,39.937476,13
D200895,116.488777,39.805183,7
D200908,116.225259,39.906334,5
D200911,116.256795,39.886674,5
D200951,116.470557,39.932756,13
D201012,116.510952,39.860703,2
D201040,116.658985,40.212631,14
D201053,116.814785,40.149628,14
D201065,116.347734,39.761862,9
D201099,116.329788,40.078537,10
D201158,116.4769,39.950105,13
D201172,116.325215,39.772953,9
D201203,116.478029,39.844263,7
D201263,116.227109,40.218806,10
D201299,116.608585,40.134143,14
D201319,116.125848,40.184533,10
D201330,116.347733,39.961794,11
D201332,116.217064,39.766231,3
D201335,116.300327,40.15402,10
D201360,116.2511,39.875548,5
D201419,116.245118,39.889388,5
D201465,116.728978,39.915849,14
D201467,116.470231,39.99193,13
D201472,116.267339,40.124139,10
D201484,116.206882,39.980518,5
D201530,116.3054,39.983705,1
D201544,116.519358,39.949967,13
D201684,116.406414,39.864971,0
D201715,116.341272,40.035964,6
D201745,116.214415,39.906104,3
D201780,116.131929,39.734226,3
D201783,116.333494,39.737619,9
D201881,116.354266,39.946633,11
D201918,116.4686,39.893687,7
D201955,116.529792,39.67551,2
D202032,116.254064,40.221192,10
D202050,116.49284,39.975659,13
D202124,116.177073,39.821139,3
D202241,116.538296,39.935107,2
D202299,116.35793,40.085596,12
D202338,116.346549,39.935061,11
D202342,116.295311,39.909866,1
D202344,116.425126,39.85673,8
D202378,116.432471,39.894317,8
D202384,116.478029,39.844263,7
D202424,116.320137,39.98104,6
D202515,116.455024,39.992822,4
D202662,116.339295,39.923522,11
D202682,116.55567,40.010081,2
D202769,116.403187,39.951364,12
D202875,116.228273,39.952281,5
D202909,116.796937,39.77915,14
D202933,116.375462,40.004543,12
D202962,116.563225,39.974747,2
D203142,116.339758,39.870317,9
D203411,116.415658,40.006719,4
D203611,116.464756,39.884083,7
D203761,116.371417,40.000446,12
D203779,116.498474,39.955644,13
D264190,116.468086,39.948091,13
D264435,116.312924,39.763744,9
D267152,116.354434,39.956973,11
D267226,116.398772,39.974246,12
D267249,116.47762,39.917238,7
D267291,116.47126,39.911389,7
D267309,116.422162,39.807039,0
D267645,116.432145,39.958829,4
D267663,116.374183,39.997878,12
D268090,116.682159,40.664071,14
D268571,116.401294,39.877773,0
D273770,116.471862,39.90954,7
D274733,116.2868,39.94941,1
D274751,116.29282,39.946298,1
D274752,116.341116,39.966729,6
D274753,116.47863,39.909535,7
D274755,116.263823,39.927176,5
D274763,116.39795,39.855441,0
D274764,116.3371,40.072002,6
D276730,116.468902,39.913709,7
D276734,116.327684,39.951606,6
D276736,116.317344,39.949254,1
D276743,116.463824,40.013027,13
D276749,116.316143,39.939119,1
D276750,116.352556,39.994347,12
D276755,116.203846,39.922477,3
D276756,116.338158,39.975669,6
D278269,116.197144,39.915918,3
D278280,116.522138,39.821895,2
D278281,116.496816,39.806756,7
D279534,116.409205,40.056027,4
D280079,116.356858,40.01498,12
D280080,116.201606,39.908319,3
D280880,116.552813,39.911141,2
D282022,116.630826,40.330902,14
D282026,116.103253,39.93818,3
D282027,116.415253,39.999195,4
D282028,116.331632,39.731966,9
D282034,116.636563,39.903741,2
D282036,116.422484,40.04414,4
D282037,116.253951,39.93174,5
D282116,116.163268,39.760689,3
D303584,116.349127,40.085068,6
D303607,116.147411,40.230226,10
D303632,116.323579,39.992772,6
D337548,116.494979,39.804671,7
D337564,116.206882,39.980518,5
D337566,116.470324,39.94539,13
D337569,116.464884,39.92899,7
D337575,116.37475,40.095822,12
D337578,116.521125,39.920309,13
D337588,116.245533,40.200136,10
D337589,116.475818,39.826622,7
D337596,116.205577,40.126111,10
D337603,116.356718,40.065251,12
D337606,116.404268,39.96225,12
D337608,116.259473,39.927436,5
D337618,116.547948,39.951237,2
D337619,116.385414,39.844721,0
D337627,116.453187,39.855816,7
D337649,116.461313,39.978897,13
D337676,116.303297,39.968569,1
D337679,116.206882,39.980518,5
D337680,116.437914,39.982547,4
D337710,116.467346,39.989519,13
D337721,116.467346,39.989519,13
D340325,116.101575,39.884851,3
D340341,116.308312,39.864268,9
D344116,116.136321,39.732284,3
D344131,116.577014,40.002279,2
D344145,116.328111,40.045991,6
D344146,116.538928,40.089066,13
D344155,116.115626,39.934558,3
D346231,116.35854,40.116007,10
D347582,116.297319,39.888588,1
D348438,116.60015,39.925349,2
D348444,116.334383,39.995077,6
D354939,116.299314,39.814135,9
D354952,116.259367,39.922881,5
D354962,116.238289,40.229923,10
D354964,116.376009,39.8683,0
D355123,116.468002,39.983455,13
D355124,116.439317,39.927203,8
D355127,116.647965,40.124814,14
D355128,116.169064,39.72243,3
D355140,116.123221,39.72382,3
D355598,116.433224,39.898797,8
D356796,116.501933,39.925281,13
D356945,116.074765,39.712142,3
D357000,116.333905,39.724884,9
D357359,117.094211,40.146274,14
D357461,116.534015,40.24808,13
D357524,116.463824,40.013027,4
D357668,116.347394,40.006937,6
DM0011314,116.160744,39.756688,3
DM0011616,116.412233,39.909874,0
DM0390394,116.566435,39.923701,2
DM0398811,116.575607,39.958954,2
DM0398812,116.295751,39.822299,9
DM0440524,116.318591,39.972078,6
DM0470233,116.516381,39.913747,13
DM0470235,116.649342,40.186415,14
DM0470240,116.463824,40.013027,13
DM0470241,116.463824,40.013027,4
DM0470243,116.370139,40.037308,12
DM0470251,116.233797,40.221339,10
DM0470256,116.377146,39.997434,12
DM0470258,116.473928,40.000862,13
DM0470260,116.651403,40.134834,14
DM0501594,116.420659,39.849377,8
DM0578062,116.416044,39.983521,4
W704279,116.355043,39.912364,11
W705485,116.418735,40.030821,4
W705513,116.208972,39.753262,3
W705529,116.230272,40.215285,10
W705551,116.110918,39.909411,3
W705554,116.305469,39.989481,6
W705561,116.452438,39.867591,7
W705580,116.642337,39.888076,2
W705582,116.124493,39.737407,3
W705609,116.11831,39.939035,3
W708688,116.304625,39.665082,9
W708796,116.58146,39.735842,2
W708797,116.255721,40.205927,10
C700538,116.263818,40.005518,10
D017394,116.235342,40.224244,10
D017403,116.364226,39.898317,0
D017406,116.292084,39.927352,1
D017429,116.399693,39.813824,0
D017450,116.477089,39.890695,7
D017514,116.214062,39.898211,3
D017534,116.468446,39.916568,7
D017547,116.424339,39.968006,4
D017576,116.398008,39.865008,0
D017582,116.425278,39.994461,4
D017586,116.651507,40.130814,14
D017595,116.265808,40.051,10
D017643,116.62897,39.890486,2
D036264,116.280257,39.953039,1
D036286,116.495698,39.87412,7
D036287,116.41226,39.970095,12
D036489,116.518597,40.002234,13
D036499,116.206882,39.980518,5
D036502,116.206882,39.980518,5
D036508,116.206882,39.980518,5
D036513,116.489386,39.987255,13
D036517,116.367551,39.941209,11
D036521,116.402885,39.991497,12
D036529,116.367551,39.941209,11
D036545,116.367551,39.941209,11
D036552,116.596663,39.853323,2
D036574,116.427199,39.912501,8
D036594,116.418745,40.037817,4
D036610,116.340929,39.913668,9
D036613,116.366202,39.939669,11
D036618,116.365868,39.912289,11
D036645,116.480112,39.890069,7
D036653,116.698589,39.718865,14
D036677,116.366202,39.939669,11
D036707,116.301554,39.857771,1
D036711,116.4448,39.943893,8
D036719,116.663389,39.908151,14
D036739,116.550802,39.911758,2
D037440,116.71722,40.040449,14
D037442,116.625609,39.90713,2
D037446,116.65131,40.11503,14
D037643,116.261056,39.917463,5
D037645,116.349489,39.973166,6
D037678,116.397214,39.940904,12
D037719,116.320821,39.898607,1
D037758,116.367551,39.941209,11
D037763,116.417478,39.921439,8
D037769,116.367551,39.941209,11
D037832,116.641146,39.89181,2
D037845,116.366202,39.939669,11
D037857,116.206882,39.980518,5
D037858,116.367551,39.941209,11
D037869,116.408427,39.935916,12
D037885,116.32468,40.000105,6
D037889,116.330045,39.876841,9
D037908,116.418157,39.919683,8
D037915,116.206882,39.980518,5
D040875,116.206882,39.980518,5
D040884,116.37286,39.93181,11
D040891,116.372866,39.940441,12
D040901,116.206882,39.980518,5
D040903,116.367551,39.941209,11
D040915,116.378221,39.969012,12
D040997,116.367551,39.941209,11
D040998,116.103455,40.003694,3
D041013,116.206882,39.980518,5
D041032,116.367551,39.941209,11
D041076,116.367551,39.941209,11
D041078,116.39189,39.865461,0
D041082,116.140636,40.136229,10
D041107,116.206882,39.980518,5
D041109,116.37286,39.93181,11
D041118,116.417829,39.959352,12
D041133,116.206882,39.980518,5
D041134,116.367551,39.941209,11
D041146,116.206882,39.980518,5
D041147,116.348768,39.914065,11
D041159,116.285605,39.859463,1
D041187,116.425772,40.044761,4
D041194,116.42777,39.892754,8
D041233,116.206882,39.980518,5
D041234,116.610573,39.891188,2
D041246,116.37286,39.93181,11
D041258,116.32493,39.951299,6
D041276,116.206882,39.980518,5
D041279,116.317101,39.884128,1
D041302,116.367551,39.941209,11
D041308,116.206882,39.980518,5
D041314,116.35534,39.918296,11
D046931,116.68107,39.865632,14
D046960,116.206882,39.980518,5
D046981,116.206882,39.980518,5
D047002,116.482281,39.990101,13
D047015,116.206882,39.980518,5
D047016,116.367551,39.941209,11
D047066,116.381269,39.904059,0
D047067,116.381269,39.904059,0
D047070,116.381269,39.904059,0
D047106,116.467554,39.871642,7
D047119,116.717677,39.85898,14
D049609,116.296544,39.872282,1
D049621,116.284226,39.923783,1
D049664,116.296214,39.878806,1
D070223,116.367551,39.941209,11
D070224,116.37286,39.93181,11
D070249,116.215921,39.908116,3
D070251,116.424671,39.995063,4
D070263,116.238215,40.230056,10
D070269,116.347009,40.086454,10
D070271,116.206882,39.980518,5
D070277,116.459953,39.893826,7
D070278,116.631773,39.905042,2
D070366,116.644633,39.907633,14
D070395,116.286482,40.018634,10
D070422,116.413908,39.840854,0
D070435,116.335233,39.960049,6
D070461,116.468968,39.943037,13
D070470,116.62719,40.0306,14
D070503,116.348646,40.034289,6
D070511,116.607109,39.886561,2
D070517,116.270681,39.881126,1
D070563,116.382499,39.982473,12
D070646,116.290917,40.023941,10
D070698,116.468206,39.893704,7
D071164,116.313896,40.026423,6
D071165,116.290351,39.923165,1
D071244,116.441067,39.807124,8
D075688,116.653764,39.914501,14
D075711,116.244864,40.206557,10
D075756,116.672539,39.886171,14
D081951,116.327407,39.973087,6
D081952,116.281147,39.893405,1
D084380,116.371664,39.954098,12
D084397,116.517005,39.932762,13
D084399,116.341682,40.007077,6
D084410,116.204222,39.943837,5
D087158,116.360232,39.976849,12
D089087,116.466878,40.012112,13
D089118,116.485066,39.884522,7
D089130,116.422564,40.07035,4
D089134,116.435765,39.8592,8
D089135,116.37952,39.84738,0
D089136,116.435765,39.8592,8
D089143,116.497672,39.900639,7
D089160,116.646599,39.888032,14
D101165,116.295461,39.914807,1
D103464,116.766266,40.33697,14
